index,distance,classify_label,real_label
1321,50511,1,1
1322,139273,1,1
1323,-260033,0,1
1324,-40276,0,1
1325,-30375,0,1
1326,29991,1,1
1327,245642,1,1
1328,-263314,0,1
1329,-108503,0,1
1330,-175468,0,1
1331,490229,1,1
1332,67312,1,1
1333,-129761,0,1
1334,-41083,0,1
1335,12920,1,1
1336,-76670,0,1
1337,289706,1,1
1338,11401,1,1
1339,-17991,0,1
1340,-395303,0,1
1341,157449,1,1
1342,-252679,0,1
1343,110172,1,1
1344,-248022,0,1
1345,-52773,0,1
1346,139289,1,1
1347,-235823,0,1
1348,-78925,0,1
1349,449628,1,1
1350,57611,1,1
1351,-398954,0,1
1352,-128323,0,1
1353,206899,1,1
1354,-150378,0,1
1355,-578799,0,1
1356,-520580,0,1
1357,-215528,0,1
1358,837635,1,1
1359,-71402,0,1
1360,432397,1,1
1361,187267,1,1
1362,-317491,0,1
1363,-243450,0,1
1364,-151843,0,1
1365,-474380,0,1
1366,134873,1,1
1367,-215216,0,1
1368,-51302,0,1
1369,-326371,0,1
1370,84855,1,1
1371,17451,1,1
1372,-177443,0,1
1373,114012,1,1
1374,490561,1,1
1375,-44571,0,1
1376,-279487,0,1
1377,21180,1,1
1378,853826,1,1
1379,-18290,0,1
1380,55642,1,1
1381,225801,1,1
1382,-2116,0,1
1383,-258371,0,1
1384,-81913,0,1
1385,903758,1,1
1386,386931,1,1
1387,-36232,0,1
1388,93624,1,1
1389,-67448,0,1
1390,424367,1,1
1391,-50472,0,1
1392,-396601,0,1
1393,-24293,0,1
1394,62995,1,1
1395,-533467,0,1
1396,-17974,0,1
1397,129754,1,1
1398,72769,1,1
