index,distance,classify_label,real_label
3619,-3409,0,0
3620,-623,0,0
3621,-9279,0,0
3622,-16772,0,0
3623,1190,1,0
3624,-3393,0,0
3625,9051,1,0
3626,-8767,0,0
3627,5653,1,0
3628,3453,1,0
3629,5489,1,0
3630,-21863,0,0
3631,-7352,0,0
3632,-33907,0,0
3633,929,1,0
3634,-4805,0,0
3635,15640,1,0
3636,-6086,0,0
3637,2802,1,0
3638,15151,1,0
3639,-11284,0,0
3640,-2584,0,0
3641,-1014,0,0
3642,3245,1,0
3643,13743,1,0
3644,-4507,0,0
3645,19686,1,0
3646,-10492,0,0
3647,-435,0,0
3648,-991,0,0
3649,1982,1,0
3650,7825,1,0
3651,6066,1,0
3652,-13246,0,0
3653,10328,1,0
3654,7630,1,0
3655,-4719,0,0
3656,1595,1,0
3657,-14662,0,0
3658,15753,1,0
3659,-2237,0,0
3660,38559,1,1
3661,11607,1,1
3662,-14400,0,1
3663,-12376,0,1
3664,-11542,0,1
3665,3855,1,1
3666,-4750,0,1
3667,6014,1,1
3668,-15698,0,1
3669,24148,1,1
3670,-3717,0,1
3671,-1216,0,1
3672,-6977,0,1
3673,3772,1,1
3674,7673,1,1
3675,-2431,0,1
3676,11820,1,1
3677,15553,1,1
3678,-13911,0,1
3679,69,1,1
3680,-7315,0,1
3681,22684,1,1
3682,1055,1,1
3683,-7013,0,1
3684,12022,1,1
3685,8722,1,1
3686,3945,1,1
3687,-4733,0,1
3688,-12373,0,1
3689,17829,1,1
3690,-3805,0,1
3691,15320,1,1
3692,-10757,0,1
3693,-212,0,1
3694,7832,1,1
3695,19503,1,1
3696,-25551,0,1
3697,3283,1,1
3698,15534,1,1
3699,-19617,0,1
3700,42856,1,1
3701,2028,1,1
3702,14251,1,1
3703,-11994,0,1
3704,-1418,0,1
3705,7202,1,1
3706,-2624,0,1
3707,3694,1,1
3708,485,1,1
3709,30009,1,1
3710,15863,1,1
3711,-19219,0,1
3712,-19986,0,1
3713,-9402,0,1
3714,-7589,0,1
3715,5466,1,1
3716,-2641,0,1
3717,20685,1,1
3718,15447,1,1
3719,30131,1,1
3720,29580,1,0
3721,6308,1,0
3722,6023,1,0
3723,-9863,0,0
3724,-6364,0,0
3725,19889,1,0
3726,-836,0,0
3727,3319,1,0
3728,27574,1,0
3729,-9010,0,0
3730,-6916,0,0
3731,-9252,0,0
3732,-1699,0,0
3733,-11017,0,0
3734,11808,1,0
3735,-1612,0,0
3736,-3837,0,0
3737,1870,1,0
3738,-3327,0,0
3739,-805,0,0
3740,1518,1,0
3741,-7094,0,0
3742,14522,1,0
3743,-8047,0,0
3744,24048,1,0
3745,-3472,0,0
3746,-6287,0,0
3747,-8953,0,0
3748,-17606,0,0
3749,7402,1,0
3750,8227,1,0
3751,-1955,0,0
3752,-14089,0,0
3753,6280,1,0
3754,2543,1,0
3755,-19543,0,0
3756,-11716,0,0
3757,-10105,0,0
3758,17184,1,0
3759,325,1,0
3760,-7308,0,0
3761,-13509,0,0
3762,-3941,0,0
3763,2526,1,0
3764,-3773,0,0
3765,-483,0,0
3766,6776,1,0
3767,-24840,0,0
3768,8587,1,0
3769,6160,1,0
3770,8461,1,0
3771,-9495,0,0
3772,3905,1,0
3773,-3077,0,0
3774,-8147,0,0
3775,3487,1,0
3776,7917,1,0
3777,12255,1,0
3778,8029,1,0
3779,81,1,0
3780,6907,1,1
3781,-14841,0,1
3782,-1689,0,1
3783,11581,1,1
3784,14543,1,1
3785,-4537,0,1
3786,-12178,0,1
3787,7516,1,1
3788,-4155,0,1
3789,1856,1,1
3790,-10709,0,1
3791,-5997,0,1
3792,-495,0,1
3793,-9565,0,1
3794,-6235,0,1
3795,-6402,0,1
3796,1743,1,1
3797,14174,1,1
3798,2657,1,1
3799,5917,1,1
3800,7542,1,1
3801,-4678,0,1
3802,9955,1,1
3803,-4009,0,1
3804,3725,1,1
3805,-3650,0,1
3806,-9366,0,1
3807,15734,1,1
3808,592,1,1
3809,-2708,0,1
3810,855,1,1
3811,1063,1,1
3812,-7359,0,1
3813,2832,1,1
3814,-5415,0,1
3815,5074,1,1
3816,-4437,0,1
3817,-3621,0,1
3818,-512,0,1
3819,-7663,0,1
3820,4075,1,1
3821,305,1,1
3822,2518,1,1
3823,4570,1,1
3824,-2867,0,1
3825,-3896,0,1
3826,18558,1,1
3827,-10664,0,1
3828,-4779,0,1
3829,2916,1,1
3830,15316,1,1
3831,-3335,0,1
3832,-72,0,1
3833,16438,1,1
3834,6998,1,1
3835,14886,1,1
3836,3550,1,1
3837,-23455,0,1
3838,443,1,1
3839,11312,1,1
5760,-56802,0,0
5761,-3986,0,0
5762,260084,1,0
5763,-20547,0,0
5764,56336,1,0
5765,23719,1,0
5766,27671,1,0
5767,59623,1,0
5768,-61395,0,0
5769,-60826,0,0
5770,-164455,0,0
5771,159757,1,0
5772,-48627,0,0
5773,-13971,0,0
5774,-39509,0,0
5775,33288,1,0
5776,-68998,0,0
5777,32440,1,0
5778,-145808,0,0
5779,-31035,0,0
5780,-772563,0,0
5781,-118877,0,0
5782,-2755,0,0
5783,3182,1,0
5784,-27219,0,0
5785,-36951,0,0
5786,64225,1,0
5787,-4781,0,0
5788,-62277,0,0
5789,58573,1,0
5790,19557,1,0
5791,2904,1,0
5792,197208,1,0
5793,-155724,0,0
5794,-181948,0,0
5795,190900,1,0
5796,-13548,0,0
5797,-43955,0,0
5798,-368987,0,0
5799,-56691,0,0
5800,143828,1,0
5801,62324,1,0
5802,-52039,0,0
5803,8306,1,0
5804,-87503,0,0
5805,-134957,0,0
5806,-16632,0,0
5807,7616,1,0
5808,127462,1,0
5809,367955,1,0
5810,-61959,0,0
5811,-99979,0,0
5812,-1155842,0,0
5813,-483466,0,0
5814,-16431,0,0
5815,34035,1,0
5816,146649,1,0
5817,-10380,0,0
5818,18133,1,0
5819,9294,1,0
5820,170761,1,1
5821,4844,1,1
5822,467401,1,1
5823,48003,1,1
5824,-338500,0,1
5825,279598,1,1
5826,-87882,0,1
5827,428540,1,1
5828,275834,1,1
5829,-44905,0,1
5830,85703,1,1
5831,120631,1,1
5832,60110,1,1
5833,3697,1,1
5834,35809,1,1
